Fighters,Average (Raw),Wrestling,BJJ,Judo,Freestyle,Muay Thai,Karate,Kickboxing,Boxing,TKD,Kung Fu,Champ.,Wres. Champ.,BJJ Champ.,Karate Champ.,Boxing Champ.,Kickbox Champ.,MT Champ.,TKD Champ.,Judo Champ.,Free. Champ.,Kung Fu Champ,ESPN Champ.,Wres. Champ.,BJJ Champ.,Boxing Champ.,Kickbox Champ.,MT Champ.,TKD Champ.,Karate Champ.,Judo Champ.,Free. Champ.,Kung Fu Champ
Total,1441,420,183,65,477,55,67,73,48,38,15,77,38,11,7,11,2,3,3,1,1,0,70,28,17,12,6,4,2,1,0,0,0
Representation,,29.15%,12.70%,4.51%,33.10%,3.82%,4.65%,5.07%,3.33%,2.64%,1.04%,5.34%,49.35%,14.29%,9.09%,14.29%,2.60%,3.90%,3.90%,1.30%,1.30%,0.00%,ESPN Represent.,40.00%,24.29%,17.14%,8.57%,5.71%,2.86%,1.43%,0.00%,0.00%,0.00%
Effectiveness,,9.05%,6.01%,1.54%,0.21%,5.45%,10.45%,2.74%,22.92%,7.89%,0.00%,,,,,,,,,,,,ESPN Effect.,6.67%,9.29%,25.00%,8.22%,7.27%,5.26%,1.49%,0.00%,0.00%,0.00%
Championship Enrichment Factor,,20.20%,1.59%,-3.21%,-31.80%,0.08%,4.44%,-2.47%,10.95%,1.26%,--,,,,,,,,,,,,ESPN Enrich.,10.85%,11.59%,13.81%,3.51%,1.90%,0.22%,-3.22%,--,--,--
Overall Win Ratio,1.24,1.48,1.10,0.87,0.99,1.42,1.33,1.49,2.26,1.15,0.78,3.27,3.84,1.87,3.40,2.96,6.17,1.87,2.35,1.83,2.00,0.00,,3.78,1.81,3.40,4.22,1.72,2.84,3.17,1.83,2.00,0.00
Overall odds of winning a match,0.24,0.48,0.10,-0.13,-0.01,0.42,0.33,0.49,1.26,0.15,-0.22,2.27,2.84,0.87,2.40,1.96,5.17,0.87,1.35,0.83,1.00,-1.00,,,,,,,,,,,
Shamil Abdurakhimov,Kickboxing,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,
Daichi Abe ,Kickboxing,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Papy Abedi,Judo,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klidson Abreu ,BJJ,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Adams,Wrestling,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zarrukh Adashev,Kickboxing,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Israel Adesanya,Kickboxing,,,,,,,11,,,,X,,,,,11,,,,,,,,,,11,,,,,,
Sam Adkins,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Aguilar,Freestyle,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Aguilera,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omari Akhmedov,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoshihiro Akiyama ,Judo,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mostapha Al-Turk,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heili Alateng,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Albert,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Albini,Wrestling,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ildemar Alcântara ,BJJ,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iuri Alcântara,BJJ,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hector Aldana,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Aldo,Muay Thai,,,,,2.17,,,,,,X,,,,,,2.17,,,,,,,2.17,,,,,,,,
John Alessio,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Alexander,Wrestling,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Algeo,Wrestling,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royce Alger,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdul Alhassan,Judo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sultan Aliev,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Allan,Muay Thai,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnold Allen,Kickboxing,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Allen,BJJ,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Alloway,Muay Thai,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Almeida,BJJ,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Almeida,Muay Thai,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Alvarez,Boxing,,,,,,,,1.33,,,X,,,,1.33,,,,,,,,,,1.33,,,,,,,
Joel Álvarez,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Alves,Muay Thai,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
